	A1	A2	A3	B1	B2	B3	C1	C2	C3	D1	D2	D3
Cluster-267.0	0	0	0	0	0	0	8	1	0	4	1	3
Cluster-268.0	0	0	0	0	0	0	13	0	0	0	0	0
Cluster-269.0	0	0	0	0	0	0	3	1	0	0	6	0
Cluster-270.0	0	0	0	0	0	0	13	7	0	1	1	0
Cluster-271.0	0	0	0	0	0	0	3	0	10	0	0	0
Cluster-272.0	0	0	0	0	0	0	7	1	0	1	1	0
Cluster-273.0	0	0	0	0	0	0	3	0	7	0	0	0
Cluster-273.1	0	0	0	2	0	0	6	0	11	0	0	2
Cluster-274.0	0	0	0	0	0	0	14	9	13	0	0	0
Cluster-275.0	0	0	0	0	0	0	12	0	0	0	0	0
Cluster-276.0	0	0	0	0	0	0	1	5	0	9	3	9
Cluster-277.0	0	0	0	0	0	0	1	6	2	0	0	5
Cluster-278.0	0	0	0	0	0	0	7	2	0	2	2	1
Cluster-279.0	0	0	0	0	0	0	4	2	12	0	2	0
Cluster-280.0	0	0	0	0	0	0	1	19	0	0	1	10
Cluster-281.0	0	0	0	0	0	0	6	1	7	6	6	3
Cluster-281.1	5	6	7	0	5	2	1	2	1	0	0	0
Cluster-281.2	0	1	5	0	0	2	4	5	1	0	0	1
Cluster-282.0	0	0	0	0	0	0	5	0	0	7	0	0
Cluster-283.0	0	0	0	0	0	0	2	3	1	0	3	2
Cluster-284.0	0	0	0	0	0	0	7	1	3	0	0	0
Cluster-285.0	0	0	0	0	0	0	11	0	0	0	0	0
Cluster-285.1	18	0	7	1	2	4	0	0	0	0	3	0
Cluster-285.2	5	0	0	0	0	0	25	0	3	3	1	3
Cluster-286.0	0	0	0	0	0	0	1	9	2	4	0	1
Cluster-287.0	0	0	0	0	0	0	3	1	0	0	6	0
Cluster-288.0	0	0	0	0	0	0	6	0	2	1	3	1
Cluster-289.0	0	0	0	0	0	0	5	3	0	1	0	1
Cluster-290.0	0	0	0	0	0	0	3	2	0	0	5	0
Cluster-291.0	0	0	0	0	0	0	11	0	0	0	0	0
Cluster-292.0	0	0	4	0	0	0	2	5	3	0	2	1
Cluster-293.0	0	0	0	0	0	0	8	1	4	4	0	4
Cluster-294.0	0	0	0	0	0	0	10	0	0	3	0	5
Cluster-295.0	0	0	0	0	0	0	2	1	0	1	10	6
Cluster-295.1	0	0	0	1	1	0	1	2	2	3	13	11
Cluster-296.0	0	0	0	0	0	0	14	0	0	0	0	0
Cluster-297.0	0	0	0	0	0	0	1	0	0	11	1	0
Cluster-298.0	0	0	0	0	0	0	1	0	0	6	0	4
Cluster-299.0	0	0	0	0	0	0	6	4	3	0	0	0
Cluster-300.0	0	0	0	0	0	0	1	8	2	1	0	0
Cluster-301.0	0	0	1	0	0	0	4	5	1	0	0	0
Cluster-302.0	0	0	0	0	0	0	1	6	0	3	1	1
Cluster-303.0	0	0	0	0	0	1	0	2	0	4	0	3
Cluster-304.0	0	0	0	0	0	3	0	0	0	6	2	1
Cluster-305.0	0	0	0	0	0	1	3	1	1	0	1	3
Cluster-306.0	0	0	0	0	0	1	0	0	0	3	11	0
Cluster-307.0	0	0	0	0	0	1	0	1	0	6	2	2
Cluster-308.0	0	0	0	0	0	2	0	1	0	0	7	0
Cluster-309.0	0	0	0	0	0	1	3	1	3	1	0	0
Cluster-309.1	0	0	0	0	0	0	1	2	2	3	0	2
Cluster-310.0	0	0	0	0	0	0	5	7	2	1	1	0
Cluster-310.1	1	1	38	21	4	6	32	60	52	8	3	7
Cluster-311.0	0	0	0	0	0	1	4	0	1	2	3	0
Cluster-312.0	0	0	0	0	0	3	3	4	0	1	0	5
Cluster-313.0	0	0	0	0	0	1	0	0	0	5	3	3
Cluster-314.0	0	0	0	0	0	2	0	0	0	5	6	0
Cluster-315.0	0	0	0	0	0	3	3	4	2	1	1	0
Cluster-316.0	0	0	0	0	0	1	4	1	1	0	0	4
Cluster-316.1	0	0	0	0	0	0	0	1	3	2	5	0
Cluster-317.0	0	0	0	1	0	2	2	2	1	1	16	0
Cluster-318.0	0	0	0	0	0	4	0	0	0	7	4	0
Cluster-319.0	0	0	0	0	0	3	2	3	1	1	1	1
Cluster-320.0	0	0	0	0	0	1	0	0	0	3	8	0
Cluster-321.0	0	0	0	0	0	4	0	0	0	5	5	0
Cluster-322.0	0	0	0	0	0	1	0	9	0	0	0	0
Cluster-323.0	0	0	0	0	0	1	0	5	0	2	0	2
Cluster-324.0	0	0	0	0	0	2	0	0	0	9	5	0
Cluster-325.0	0	0	0	0	0	0	0	0	0	5	2	0
Cluster-325.1	0	0	0	0	0	2	0	0	0	2	5	0
Cluster-325.2	0	0	0	3	0	3	0	0	0	3	2	0
Cluster-325.3	0	0	0	2	0	0	0	0	0	6	5	0
Cluster-326.0	0	0	0	0	0	3	1	3	1	0	3	0
Cluster-327.0	0	0	0	0	0	4	0	0	0	23	14	0
Cluster-328.0	0	0	0	0	0	2	0	0	0	12	4	0
Cluster-329.0	0	0	0	0	0	3	0	0	0	5	6	0
Cluster-330.0	0	0	0	0	0	17	0	0	0	0	0	0
Cluster-331.0	0	0	0	0	0	3	0	0	0	3	7	0
Cluster-332.0	0	0	0	0	0	4	0	0	0	15	18	2
Cluster-332.1	0	0	0	4	0	1	0	2	0	16	4	0
Cluster-333.0	0	0	0	0	0	1	0	0	0	8	6	0
Cluster-334.0	0	0	0	0	0	3	0	0	0	5	3	0
Cluster-335.0	0	0	0	0	0	10	0	0	0	0	0	0
Cluster-336.0	0	0	0	0	0	1	14	7	0	2	0	0
Cluster-337.0	0	0	0	0	0	2	0	0	0	20	10	0
Cluster-338.0	0	0	0	0	0	2	0	0	0	10	11	0
Cluster-339.0	0	0	0	0	0	2	0	0	0	2	1	5
Cluster-340.0	0	0	0	0	0	3	2	0	2	1	1	2
Cluster-341.0	0	0	0	0	0	2	0	4	5	0	0	2
Cluster-342.0	0	0	0	0	0	2	0	0	0	4	4	0
Cluster-343.0	0	0	0	0	0	1	3	4	1	2	0	7
Cluster-344.0	0	0	0	0	0	1	4	6	2	4	4	1
Cluster-345.0	0	0	0	0	0	1	0	0	17	22	31	49
Cluster-346.0	0	0	0	0	0	2	0	0	0	7	3	0
Cluster-346.1	0	0	0	1	0	1	0	0	0	5	4	0
Cluster-347.0	0	0	0	0	0	4	0	0	0	7	9	0
Cluster-348.0	0	0	0	0	0	1	0	1	1	4	2	1
Cluster-349.0	0	0	0	0	0	3	1	2	0	1	3	1
Cluster-350.0	0	0	0	0	0	1	3	1	1	0	14	0
Cluster-351.0	0	0	0	0	0	2	0	5	4	0	0	0
Cluster-352.0	0	0	0	0	0	1	0	0	0	3	9	0
Cluster-353.0	0	0	0	3	0	8	0	0	0	9	7	0
Cluster-354.0	0	0	0	0	0	1	4	1	2	0	0	2
Cluster-355.0	0	0	0	0	0	0	2	1	3	0	0	1
Cluster-355.1	4	1	2	1	0	1	1	0	0	1	0	0
Cluster-356.0	0	0	0	0	1	0	12	0	2	3	0	0
Cluster-357.0	0	0	0	0	3	0	1	3	0	1	0	2
